--- Starting MAE Training (120 Epochs max) ---
MAE Epoch 1/120 | Train Loss: 0.0940 | Val Loss: 0.0835 | LR: 8.33e-06
MAE Epoch 2/120 | Train Loss: 0.0838 | Val Loss: 0.0811 | LR: 1.67e-05
MAE Epoch 3/120 | Train Loss: 0.0823 | Val Loss: 0.0802 | LR: 2.50e-05
MAE Epoch 4/120 | Train Loss: 0.0814 | Val Loss: 0.0792 | LR: 3.00e-05
MAE Epoch 5/120 | Train Loss: 0.0806 | Val Loss: 0.0789 | LR: 3.00e-05
MAE Epoch 6/120 | Train Loss: 0.0802 | Val Loss: 0.0784 | LR: 3.00e-05
MAE Epoch 7/120 | Train Loss: 0.0798 | Val Loss: 0.0779 | LR: 2.99e-05
MAE Epoch 8/120 | Train Loss: 0.0795 | Val Loss: 0.0779 | LR: 2.99e-05
MAE Epoch 9/120 | Train Loss: 0.0793 | Val Loss: 0.0776 | LR: 2.98e-05
MAE Epoch 10/120 | Train Loss: 0.0790 | Val Loss: 0.0775 | LR: 2.98e-05
MAE Epoch 11/120 | Train Loss: 0.0789 | Val Loss: 0.0772 | LR: 2.97e-05
MAE Epoch 12/120 | Train Loss: 0.0787 | Val Loss: 0.0771 | LR: 2.96e-05
MAE Epoch 13/120 | Train Loss: 0.0784 | Val Loss: 0.0770 | LR: 2.95e-05
MAE Epoch 14/120 | Train Loss: 0.0783 | Val Loss: 0.0769 | LR: 2.94e-05
MAE Epoch 15/120 | Train Loss: 0.0783 | Val Loss: 0.0767 | LR: 2.93e-05
MAE Epoch 16/120 | Train Loss: 0.0782 | Val Loss: 0.0768 | LR: 2.92e-05
MAE Epoch 17/120 | Train Loss: 0.0780 | Val Loss: 0.0766 | LR: 2.90e-05
MAE Epoch 18/120 | Train Loss: 0.0779 | Val Loss: 0.0765 | LR: 2.89e-05
MAE Epoch 19/120 | Train Loss: 0.0778 | Val Loss: 0.0764 | LR: 2.87e-05
MAE Epoch 20/120 | Train Loss: 0.0777 | Val Loss: 0.0763 | LR: 2.86e-05
MAE Epoch 21/120 | Train Loss: 0.0777 | Val Loss: 0.0763 | LR: 2.84e-05
MAE Epoch 22/120 | Train Loss: 0.0775 | Val Loss: 0.0762 | LR: 2.82e-05
MAE Epoch 23/120 | Train Loss: 0.0774 | Val Loss: 0.0762 | LR: 2.80e-05
MAE Epoch 24/120 | Train Loss: 0.0774 | Val Loss: 0.0762 | LR: 2.78e-05
MAE Epoch 25/120 | Train Loss: 0.0774 | Val Loss: 0.0761 | LR: 2.76e-05
MAE Epoch 26/120 | Train Loss: 0.0772 | Val Loss: 0.0760 | LR: 2.73e-05
